dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
HAR,RNN_nogyr,False,True,False,2,6,0.9546805733877739,0.9651084637889795,0.9523310102770784
HAR,RNN_nogyr,False,True,False,2,7,0.9948954398245821,0.99489944670127,0.9948931339401952
HAR,RNN_nogyr,False,True,False,2,8,0.9940508768040163,0.9942472902337675,0.9938878917283124
HAR,RNN_nogyr,False,True,False,2,9,0.9918434415178189,0.9925463100710546,0.9912321125048926
HAR,RNN_nogyr,False,True,False,2,10,0.9468412692918472,0.9557825134139984,0.9484282216480625
HAR,RNN_nogyr,False,True,False,2,11,0.90331238835725,0.9400414142487334,0.9082297092248529
HAR,RNN_nogyr,False,True,False,3,12,0.9909421836921727,0.9919152720510955,0.9904516375441612
HAR,RNN_nogyr,False,True,False,3,13,0.8815060242820268,0.893768892931664,0.883092623664364
HAR,RNN_nogyr,False,True,False,3,14,0.7107318256555571,0.8704362602630352,0.7678615465417371
HAR,RNN_nogyr,False,True,False,3,15,0.9627210978548776,0.9701308502247915,0.961389629926232
HAR,RNN_nogyr,False,True,False,3,16,0.9848570280904726,0.9861468023754353,0.9848826098826099
HAR,RNN_nogyr,False,True,False,3,17,0.9823068834743071,0.9840758758913585,0.9816475464740808
HAR,RNN_nogyr,False,True,False,4,18,0.9152602940840544,0.9392285601232898,0.9252436362162517
HAR,RNN_nogyr,False,True,False,4,19,0.6561626211504238,0.6985496368241099,0.6679707522349178
HAR,RNN_nogyr,False,True,False,4,20,0.9704803941697003,0.9731784458334863,0.971621190896745
HAR,RNN_nogyr,False,True,False,4,21,0.9634282267135198,0.9694510933080053,0.9618498413334301
HAR,RNN_nogyr,False,True,False,4,22,0.9181796862636893,0.9369212495223745,0.9222091798801845
HAR,RNN_nogyr,False,True,False,4,23,0.9518235991389501,0.9578790321116503,0.9523205686229076
HAR,CRNN_nogyr,False,True,False,1,0,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,1,1,0.9996573501084868,0.9996683250414593,0.9996470795835539
HAR,CRNN_nogyr,False,True,False,1,2,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,1,3,0.9990904656724949,0.9991846743814468,0.9989980471863941
