dataset,experiment,fig4,fig5d,fig5e,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std
jeantet_turtles,CRNN_low_data_nogyr,False,False,True,0.6368405643821387,0.10761814885896631,0.657738234273497,0.09978155570389405,0.7135703585524352,0.13832476652022097
jeantet_turtles,rf_low_data_nogyr,False,False,True,0.49868689215906287,0.13160093996898,0.800639964532963,0.07996005326726612,0.5026463173065002,0.15799567525220412
ladds_seals,harnet_nogyr,True,True,False,0.6583952391954908,0.07237838714643612,0.6692601995629283,0.08455305322431235,0.664144234687604,0.06669620543081062
ladds_seals,CRNN,True,True,False,0.5628964956104215,0.08226364139065642,0.5753848605828624,0.10604478160212301,0.6016762834921302,0.06462668087153425
ladds_seals,CNN,True,False,False,0.5649884898747642,0.07263274625541327,0.5820327595902095,0.0902641117203774,0.6096364034362909,0.05783086165460264
ladds_seals,dt,True,False,False,0.48831820230170575,0.06867842807238496,0.5196116918497221,0.0815345527451229,0.502591167961638,0.0660309624255821
ladds_seals,rf,True,True,False,0.5671463703795201,0.055498635158900876,0.6446224014053867,0.06906696418096425,0.563253665441893,0.05481844552836087
ladds_seals,svm,True,False,False,0.5427652331566779,0.07780998762717219,0.5725713619033276,0.10465661489960015,0.5731398568606151,0.05292622178473491
ladds_seals,wavelet_dt,True,False,False,0.3641989148046742,0.06902324700338569,0.394463206473038,0.062377429932191766,0.4030101194517107,0.0579916559660414
ladds_seals,wavelet_rf,True,False,False,0.3831286822394844,0.0886956073778971,0.6201165983364075,0.09326693967273351,0.42881741507191196,0.07217127694103852
ladds_seals,wavelet_svm,True,False,False,0.384704441601787,0.07617553944939719,0.4189939003041778,0.058235291604470836,0.42712846771320506,0.059263394845423464
ladds_seals,harnet_unfrozen_nogyr,False,True,False,0.3381495209991997,0.03993650758888025,0.4210980333762817,0.04138630046604358,0.3647912332022288,0.036200834014899694
ladds_seals,harnet_random_nogyr,False,True,False,0.3174556444452438,0.05277261139392219,0.39804000504746134,0.04530344343518382,0.33974675593478043,0.043595726803580044
ladds_seals,RNN_nogyr,False,True,False,0.5624258917093122,0.07229513541659303,0.5782144064249574,0.08591019794664714,0.5882404182049249,0.057925786047378504
ladds_seals,harnet_low_data_nogyr,False,False,True,0.575348025056439,0.07130111027617926,0.5966105585096704,0.08311767041293755,0.6031279082989055,0.07138356815766737
ladds_seals,harnet_random_low_data_nogyr,False,False,True,0.27199620231091276,0.053131713063545055,0.40950047187451744,0.11501510587262065,0.30668926564973886,0.036533550458341016
ladds_seals,harnet_unfrozen_low_data_nogyr,False,False,True,0.3114636129565049,0.04413402318770178,0.3844581946867016,0.06529815438003624,0.35310648871165506,0.043892587535122624
ladds_seals,RNN_low_data_nogyr,False,False,True,0.47505898803969276,0.0804982505167879,0.5347581170894945,0.10655668277612658,0.49197279734394883,0.07276791793968793
ladds_seals,wavelet_RNN_low_data_nogyr,False,False,True,0.453960518171292,0.09197674814620393,0.48617860439732496,0.13079608809151483,0.48793618461822214,0.0771507306720203
ladds_seals,CRNN_low_data,False,False,True,0.5049517766208234,0.08831683839388814,0.5529902070214955,0.10484578427570948,0.5225625057050958,0.08039577823212576
ladds_seals,rf_low_data,False,False,True,0.40989961807182174,0.12402379743460708,0.6158854139733175,0.0928515544933418,0.4376505688144463,0.0984478595554959
maekawa_gulls,harnet_nogyr,True,True,False,0.6210625770489664,0.1657239964067339,0.6520863294443668,0.16840479203749156,0.7767543275681,0.18839137323761293
maekawa_gulls,CRNN,True,True,False,0.4955906563925696,0.1227247359307938,0.5214665482346978,0.14468698248704592,0.7644730945851317,0.19912661694329295
maekawa_gulls,CNN,True,False,False,0.48621289724583144,0.10895565417016738,0.5063601484410798,0.12306934842324237,0.7672721317403166,0.17786560294558657
maekawa_gulls,dt,True,False,False,0.4756368232656348,0.10405336575715049,0.4862695931151222,0.1127460029159918,0.741570147561435,0.19507115433969596
maekawa_gulls,rf,True,True,False,0.49809160779699657,0.11229450361413951,0.5149727652430458,0.12957689697310418,0.7669377787448808,0.19607404350674257
